day (S),cards (N),servers (N),users (N),,,,,
8/2/2020,34940,109,329,,,,,
8/4/2020,37406,117,339,,,,,
8/6/2020,39440,130,353,,,,,
8/7/2020,40794,139,370,,,,,
8/13/2020,45926,155,425,,,,,
8/14/2020,46608,160,431,,,,,
8/18/2020,49162,164,462,,,,,
8/19/2020,49587,164,468,,,,,
8/21/2020,51445,174,502,,,,,
8/26/2020,57779,196,575,,,,,
8/27/2020,58831,196,582,,,,,
8/28/2020,59839,201,595,,,,,
8/29/2020,60877,205,604,,,,,
8/30/2020,62175,209,614,,,,,
9/2/2020,65928,221,654,,,,,
9/3/2020,66733,223,662,,,,,
9/4/2020,67701,226,665,,,,,
9/5/2020,68611,230,681,,,,,
9/6/2020,69784,238,697,,,,,
9/7/2020,70617,242,704,,,,,
9/11/2020,75418,257,795,,,,,
9/15/2020,81389,279,847,,,,,
9/16/2020,82962,283,861,,,,,
9/17/2020,84204,286,878,,,,,
9/18/2020,85894,292,900,,,,,
9/20/2020,89365,298,927,,,,,
9/22/2020,91982,303,953,,,,,
9/23/2020,93287,307,971,,,,,
9/24/2020,94573,310,984,,,,,
9/25/2020,95693,318,999,,,,,
9/27/2020,98731,323,1034,,,,,
9/28/2020,100042,329,1046,,,,,
9/30/2020,101897,339,1064,,,,,
10/1/2020,102889,345,1085,,,,,
10/2/2020,104086,352,1099,,,,,
10/7/2020,110709,368,1168,,,,,
10/14/2020,120807,414,1313,,,,,
10/16/2020,127550,452,1399,,,,,
10/19/2020,138737,474,1459,,,,,
10/20/2020,142431,483,1479,,,,,
10/21/2020,146347,498,1516,,,,,
10/22/2020,150688,510,1546,,,,,
10/24/2020,158107,529,1591,,,,,
10/26/2020,165610,543,1638,,,,,
10/28/2020,174079,565,1703,,,,,
10/30/2020,184597,583,1779,,,,,
10/31/2020,189895,602,1812,,,,,
11/2/2020,199147,612,1851,,,,,
11/3/2020,204060,621,1892,,,,,
11/5/2020,212920,654,1973,,,,,
11/7/2020,219300,673,2044,,,,,
11/8/2020,222043,679,2075,,,,,
11/11/2020,233285,717,2170,,,,,
11/12/2020,237151,739,2208,,,,,
11/13/2020,240458,753,2240,,,,,
11/14/2020,243244,770,2276,,,,,
11/20/2020,261960,822,2425,,,,,
11/24/2020,277558,868,2527,,,,,
11/25/2020,281894,882,2558,,,,,
11/27/2020,288367,897,2589,,,,,
11/28/2020,291620,906,2613,,,,,
11/30/2020,298220,933,2672,,,,,
12/2/2020,305791,960,2729,,,,,
12/5/2020,315204,993,2832,,,,,
12/6/2020,318138,1007,2859,,,,,
12/7/2020,321212,1009,2888,,,,,
12/9/2020,327955,1021,2948,,,,,
12/11/2020,335930,1035,3016,,,,,
12/12/2020,339190,1038,3057,,,,,
12/15/2020,349473,1046,3149,,,,,
12/17/2020,356297,1066,3192,,,,,
12/18/2020,359809,1072,3210,,,,,
12/20/2020,365847,1090,3239,,,,,
12/24/2020,378900,1124,3333,,,,,
12/25/2020,381704,1129,3345,,,,,
12/27/2020,388303,1139,3400,,,,,
12/28/2020,392055,1149,3417,,,,,
12/29/2020,394964,1151,3436,,,,,
12/31/2020,403625,1169,3500,,,,,
1/4/2021,417723,1208,3612,,,,,
1/5/2021,421737,1214,3646,,,,,
1/6/2021,425264,1222,3682,,,,,
1/7/2021,429496,1234,3720,,,,,
1/10/2021,440320,1273,3819,,,,,
1/11/2021,443545,1286,3849,,,,,
1/13/2021,451268,1300,3914,,,,,
1/15/2021,458071,1311,3996,,,,,
1/19/2021,471147,1339,4113,,,,,
1/20/2021,474474,1341,4129,,,,,
1/21/2021,477012,1349,4166,,,,,
1/22/2021,479865,1355,4186,,,,,
1/26/2021,492057,1397,4306,,,,,
1/27/2021,495424,1399,4329,,,,,
1/29/2021,503305,1421,4387,,,,,
2/2/2021,517268,1444,4526,,,,,
2/3/2021,520709,1465,4571,,,,,
2/6/2021,533692,1518,4721,,,,,
2/8/2021,539943,1537,4777,,,,,
2/9/2021,544144,1549,4807,,,,,
2/10/2021,547333,1557,4828,,,,,
